                  trigger_name                   | event_manipulation |       event_object_table       |                       action_statement                       
 trg_brand_isolation_purchase_request_items      | INSERT             | purchase_request_items         | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_purchase_return_items           | INSERT             | purchase_return_items          | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_purchase_return_items       | INSERT             | purchase_return_items          | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_purchase_return_items          | INSERT             | purchase_return_items          | EXECUTE FUNCTION auto_set_company_id()
 trg_brand_isolation_purchase_return_items       | UPDATE             | purchase_return_items          | EXECUTE FUNCTION enforce_brand_isolation()
 trg_pti_updated_at                              | UPDATE             | purchase_transaction_items     | EXECUTE FUNCTION update_item_timestamp()
 trg_sync_container_info                         | UPDATE             | purchase_transactions          | EXECUTE FUNCTION sync_container_info_to_transaction()
 trg_purchase_calc_balance                       | UPDATE             | purchase_transactions          | EXECUTE FUNCTION calc_transaction_balance()
 trg_purchase_calc_balance                       | INSERT             | purchase_transactions          | EXECUTE FUNCTION calc_transaction_balance()
 trg_pt_increment_version                        | UPDATE             | purchase_transactions          | EXECUTE FUNCTION increment_version()
 trg_sync_container_info                         | INSERT             | purchase_transactions          | EXECUTE FUNCTION sync_container_info_to_transaction()
 trg_qr_codes_updated_at                         | UPDATE             | qr_codes                       | EXECUTE FUNCTION update_qr_codes_updated_at()
 trg_brand_isolation_quotation_items             | INSERT             | quotation_items                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_quotation_items                | INSERT             | quotation_items                | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_quotation_items                 | INSERT             | quotation_items                | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_quotation_items             | UPDATE             | quotation_items                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_quotations                      | INSERT             | quotations                     | EXECUTE FUNCTION auto_set_tenant_id()
 trg_set_initial_next_execution_date             | INSERT             | recurring_entry_templates      | EXECUTE FUNCTION set_initial_next_execution_date()
 trigger_set_tenant_remittances                  | UPDATE             | remittances                    | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_remittances                  | INSERT             | remittances                    | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_retail_cuttings              | INSERT             | retail_cuttings                | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_retail_cuttings              | UPDATE             | retail_cuttings                | EXECUTE FUNCTION set_tenant_from_company()
 trigger_activate_subscription_on_payment        | INSERT             | saas_payments                  | EXECUTE FUNCTION activate_subscription_on_payment()
 trigger_activate_subscription_on_payment        | UPDATE             | saas_payments                  | EXECUTE FUNCTION activate_subscription_on_payment()
 trigger_update_saas_payments_timestamp          | UPDATE             | saas_payments                  | EXECUTE FUNCTION update_saas_payments_updated_at()
 trg_auto_tenant_sales_invoice_items             | INSERT             | sales_invoice_items            | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_sales_invoice_items         | INSERT             | sales_invoice_items            | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_sales_invoice_items         | UPDATE             | sales_invoice_items            | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_sales_invoices                  | INSERT             | sales_invoices                 | EXECUTE FUNCTION auto_set_tenant_id()
 trg_sales_invoice_stage                         | UPDATE             | sales_invoices                 | EXECUTE FUNCTION update_document_stage()
 trg_sales_invoice_stage                         | INSERT             | sales_invoices                 | EXECUTE FUNCTION update_document_stage()
 trg_brand_isolation_sales_invoices              | UPDATE             | sales_invoices                 | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_sales_invoices              | INSERT             | sales_invoices                 | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_sales_invoices                 | INSERT             | sales_invoices                 | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_company_sales_order_items              | INSERT             | sales_order_items              | EXECUTE FUNCTION auto_set_company_id()
 trg_auto_tenant_sales_order_items               | INSERT             | sales_order_items              | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_sales_order_items           | UPDATE             | sales_order_items              | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_sales_order_items           | INSERT             | sales_order_items              | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_sales_return_items          | UPDATE             | sales_return_items             | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_sales_return_items          | INSERT             | sales_return_items             | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_sales_return_items              | INSERT             | sales_return_items             | EXECUTE FUNCTION auto_set_tenant_id()
 trg_auto_company_sales_return_items             | INSERT             | sales_return_items             | EXECUTE FUNCTION auto_set_company_id()
 trg_sti_updated_at                              | UPDATE             | sales_transaction_items        | EXECUTE FUNCTION update_item_timestamp()
 trg_st_increment_version                        | UPDATE             | sales_transactions             | EXECUTE FUNCTION increment_version()
 trg_sales_calc_balance                          | UPDATE             | sales_transactions             | EXECUTE FUNCTION calc_transaction_balance()
 trg_sales_calc_balance                          | INSERT             | sales_transactions             | EXECUTE FUNCTION calc_transaction_balance()
 trigger_set_company_tenant_sample_cutting_items | UPDATE             | sample_cutting_items           | EXECUTE FUNCTION set_company_tenant_from_sample_cutting()
 trigger_set_company_tenant_sample_cutting_items | INSERT             | sample_cutting_items           | EXECUTE FUNCTION set_company_tenant_from_sample_cutting()
 trigger_set_tenant_sample_cuttings              | INSERT             | sample_cuttings                | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_sample_cuttings              | UPDATE             | sample_cuttings                | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_serial_numbers               | INSERT             | serial_numbers                 | EXECUTE FUNCTION set_tenant_from_company()
 trigger_set_tenant_serial_numbers               | UPDATE             | serial_numbers                 | EXECUTE FUNCTION set_tenant_from_company()
 trg_auto_tenant_shipping_carriers               | INSERT             | shipping_carriers              | EXECUTE FUNCTION auto_set_tenant_id()
 trg_update_cart_item_timestamp                  | UPDATE             | shopping_cart_items            | EXECUTE FUNCTION update_cart_timestamp()
 trg_update_cart_timestamp                       | UPDATE             | shopping_carts                 | EXECUTE FUNCTION update_cart_timestamp()
 trigger_update_alerts_timestamp                 | UPDATE             | subscription_alerts            | EXECUTE FUNCTION update_subscription_alerts_updated_at()
 update_subscription_plans_updated_at            | UPDATE             | subscription_plans             | EXECUTE FUNCTION update_updated_at_column()
 trg_audit_subscriptions                         | UPDATE             | subscriptions                  | EXECUTE FUNCTION auto_audit_log()
 trg_audit_subscriptions                         | INSERT             | subscriptions                  | EXECUTE FUNCTION auto_audit_log()
 trg_audit_subscriptions                         | DELETE             | subscriptions                  | EXECUTE FUNCTION auto_audit_log()
 trg_protect_super_admins                        | UPDATE             | super_admins                   | EXECUTE FUNCTION protect_super_admins()
 trg_audit_super_admins                          | UPDATE             | super_admins                   | EXECUTE FUNCTION log_sensitive_changes()
 trg_protect_super_admins                        | INSERT             | super_admins                   | EXECUTE FUNCTION protect_super_admins()
 trg_protect_super_admins                        | DELETE             | super_admins                   | EXECUTE FUNCTION protect_super_admins()
 trg_audit_super_admins                          | INSERT             | super_admins                   | EXECUTE FUNCTION log_sensitive_changes()
 trg_audit_super_admins                          | DELETE             | super_admins                   | EXECUTE FUNCTION log_sensitive_changes()
 trg_auto_tenant_supplier_groups                 | INSERT             | supplier_groups                | EXECUTE FUNCTION auto_set_tenant_id()
 trg_brand_isolation_supplier_groups             | INSERT             | supplier_groups                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_supplier_groups             | UPDATE             | supplier_groups                | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_tenant_suppliers                       | INSERT             | suppliers                      | EXECUTE FUNCTION auto_set_tenant_id()
 trg_update_timestamp_suppliers                  | UPDATE             | suppliers                      | EXECUTE FUNCTION update_updated_at()
 trg_brand_isolation_suppliers                   | UPDATE             | suppliers                      | EXECUTE FUNCTION enforce_brand_isolation()
 trg_brand_isolation_suppliers                   | INSERT             | suppliers                      | EXECUTE FUNCTION enforce_brand_isolation()
 trg_auto_company_suppliers                      | INSERT             | suppliers                      | EXECUTE FUNCTION auto_set_company_id()
 trg_tenant_languages_updated_at                 | UPDATE             | tenant_languages               | EXECUTE FUNCTION update_tenant_languages_updated_at()
 trigger_update_tenant_subscriptions_timestamp   | UPDATE             | tenant_subscriptions           | EXECUTE FUNCTION update_tenant_subscriptions_updated_at()
 trigger_update_tenant_users_timestamp           | UPDATE             | tenant_users                   | EXECUTE FUNCTION update_tenant_users_updated_at()
 trg_update_timestamp_tenants                    | UPDATE             | tenants                        | EXECUTE FUNCTION update_updated_at()
 trigger_setup_chart_templates                   | INSERT             | tenants                        | EXECUTE FUNCTION auto_setup_chart_templates_for_new_tenant()
 trg_on_tenant_created                           | INSERT             | tenants                        | EXECUTE FUNCTION on_tenant_created()
 protect_tenant_sensitive                        | UPDATE             | tenants                        | EXECUTE FUNCTION protect_tenant_fields()
 trg_protect_tenants                             | UPDATE             | tenants                        | EXECUTE FUNCTION protect_tenants()
 update_user_feature_permissions_updated_at      | UPDATE             | user_feature_permissions       | EXECUTE FUNCTION update_updated_at_column()
 update_user_module_permissions_updated_at       | UPDATE             | user_module_permissions        | EXECUTE FUNCTION update_updated_at_column()
