type,from_table,from_col,to_table,to_col,constraint_name
FK,payment_vouchers,supplier_id,suppliers,id,payment_vouchers_supplier_id_fkey
FK,payment_vouchers,sales_invoice_id,sales_invoices,id,payment_vouchers_sales_invoice_id_fkey
FK,plan_module_features,plan_id,subscription_plans,id,plan_module_features_plan_id_fkey
FK,plan_modules,module_id,system_modules,id,plan_modules_module_id_fkey
FK,plan_modules,plan_id,subscription_plans,id,plan_modules_plan_id_fkey
FK,plan_ui_tabs,tab_code,ui_tabs,tab_code,plan_ui_tabs_tab_code_fkey
FK,plan_ui_tabs,plan_id,subscription_plans,id,plan_ui_tabs_plan_id_fkey
FK,price_list_items,company_id,companies,id,price_list_items_company_id_fkey
FK,price_list_items,price_list_id,price_lists,id,price_list_items_price_list_id_fkey
FK,price_list_items,tenant_id,tenants,id,price_list_items_tenant_id_fkey
FK,price_list_items,product_id,products,id,price_list_items_product_id_fkey
FK,price_lists,company_id,companies,id,price_lists_company_id_fkey
FK,price_lists,tenant_id,tenants,id,price_lists_tenant_id_fkey
FK,product_categories,default_inventory_account_id,accounts,id,product_categories_default_inventory_account_id_fkey
FK,product_categories,tenant_id,tenants,id,product_categories_tenant_id_fkey
FK,product_categories,company_id,companies,id,product_categories_company_id_fkey
FK,product_categories,parent_id,product_categories,id,product_categories_parent_id_fkey
FK,product_categories,default_income_account_id,accounts,id,product_categories_default_income_account_id_fkey
FK,product_categories,default_expense_account_id,accounts,id,product_categories_default_expense_account_id_fkey
FK,product_customer_access,customer_id,customers,id,product_customer_access_customer_id_fkey
FK,product_customer_access,customer_group_id,customer_groups,id,product_customer_access_customer_group_id_fkey
FK,product_customer_access,tenant_id,tenants,id,product_customer_access_tenant_id_fkey
FK,product_customer_access,product_id,products,id,product_customer_access_product_id_fkey
FK,product_review_stats,product_id,products,id,product_review_stats_product_id_fkey
FK,product_review_stats,tenant_id,tenants,id,product_review_stats_tenant_id_fkey
FK,product_reviews,company_id,companies,id,product_reviews_company_id_fkey
FK,product_reviews,tenant_id,tenants,id,product_reviews_tenant_id_fkey
FK,product_reviews,customer_id,customers,id,product_reviews_customer_id_fkey
FK,product_reviews,product_id,products,id,product_reviews_product_id_fkey
FK,product_reviews,order_id,orders,id,product_reviews_order_id_fkey
FK,product_uom_conversions,product_id,products,id,product_uom_conversions_product_id_fkey
FK,product_variants,product_id,products,id,product_variants_product_id_fkey
FK,products,category_id,product_categories,id,products_category_id_fkey
FK,products,inventory_account_id,accounts,id,products_inventory_account_id_fkey
FK,products,tenant_id,tenants,id,fk_products_tenant
FK,products,expense_account_id,accounts,id,products_expense_account_id_fkey
FK,products,income_account_id,accounts,id,products_income_account_id_fkey
FK,products,company_id,companies,id,products_company_id_fkey
FK,purchase_invoice_items,product_id,products,id,purchase_invoice_items_product_id_fkey
FK,purchase_invoice_items,warehouse_id,warehouses,id,purchase_invoice_items_warehouse_id_fkey
FK,purchase_invoice_items,tenant_id,tenants,id,purchase_invoice_items_tenant_id_fkey
FK,purchase_invoice_items,invoice_id,purchase_invoices,id,purchase_invoice_items_invoice_id_fkey
FK,purchase_invoices,company_id,companies,id,fk_purchase_company
FK,purchase_invoices,warehouse_id,warehouses,id,purchase_invoices_warehouse_id_fkey
FK,purchase_invoices,order_id,purchase_orders,id,purchase_invoices_order_id_fkey
FK,purchase_invoices,branch_id,branches,id,purchase_invoices_branch_id_fkey
FK,purchase_invoices,journal_entry_id,journal_entries,id,purchase_invoices_journal_entry_id_fkey
FK,purchase_invoices,supplier_id,suppliers,id,purchase_invoices_supplier_id_fkey
FK,purchase_invoices,tenant_id,tenants,id,fk_purchase_tenant
FK,purchase_invoices,shipment_id,shipments,id,purchase_invoices_shipment_id_fkey
FK,purchase_order_items,product_id,products,id,purchase_order_items_product_id_fkey
