function_name,routine_type,return_type,language
set_company_tenant_from_warehouse,FUNCTION,trigger,PLPGSQL
set_default_currency_for_journal_entry,FUNCTION,trigger,PLPGSQL
set_initial_next_execution_date,FUNCTION,trigger,PLPGSQL
set_journal_entry_line_tenant_id,FUNCTION,trigger,PLPGSQL
set_primary_language,FUNCTION,jsonb,PLPGSQL
set_primary_product_image,FUNCTION,boolean,PLPGSQL
set_tenant_from_company,FUNCTION,trigger,PLPGSQL
setup_chart_templates_for_tenant,FUNCTION,void,PLPGSQL
setup_super_user_by_email,FUNCTION,jsonb,PLPGSQL
setup_support_user,FUNCTION,jsonb,PLPGSQL
suspend_tenant,FUNCTION,jsonb,PLPGSQL
switch_user_company,FUNCTION,jsonb,PLPGSQL
tenant_has_module,FUNCTION,boolean,PLPGSQL
toggle_plan_status,FUNCTION,jsonb,PLPGSQL
toggle_tenant_module,FUNCTION,jsonb,PLPGSQL
transfer_account_balance,FUNCTION,uuid,PLPGSQL
trg_set_updated_at,FUNCTION,trigger,PLPGSQL
update_budget_actuals_from_journal,FUNCTION,trigger,PLPGSQL
update_budget_totals,FUNCTION,trigger,PLPGSQL
update_cart_item,FUNCTION,boolean,PLPGSQL
update_cart_timestamp,FUNCTION,trigger,PLPGSQL
update_cart_totals,FUNCTION,boolean,PLPGSQL
update_contact_interaction_stats,FUNCTION,trigger,PLPGSQL
update_contacts_updated_at,FUNCTION,trigger,PLPGSQL
update_cost_center_spending,FUNCTION,trigger,PLPGSQL
update_customer_profile,FUNCTION,boolean,PLPGSQL
update_delivery_notes_timestamp,FUNCTION,trigger,PLPGSQL
update_employee_target_achievement,FUNCTION,uuid,PLPGSQL
update_entity_status_on_scan,FUNCTION,json,PLPGSQL
update_gold_item_value,FUNCTION,trigger,PLPGSQL
update_inventory_stock,FUNCTION,trigger,PLPGSQL
update_journal_entry_totals,FUNCTION,trigger,PLPGSQL
update_marker_color,FUNCTION,trigger,PLPGSQL
update_plan_limits,FUNCTION,jsonb,PLPGSQL
update_product_review_stats,FUNCTION,void,PLPGSQL
update_promotional_discount,FUNCTION,jsonb,PLPGSQL
update_purchase_document_status_bypass_rls,FUNCTION,void,PLPGSQL
update_qr_codes_updated_at,FUNCTION,trigger,PLPGSQL
update_saas_payments_updated_at,FUNCTION,trigger,PLPGSQL
update_shipment_document_status,FUNCTION,jsonb,PLPGSQL
update_subscription_alerts_updated_at,FUNCTION,trigger,PLPGSQL
update_subscription_plan,FUNCTION,jsonb,PLPGSQL
update_tenant_languages_updated_at,FUNCTION,trigger,PLPGSQL
update_tenant_subscriptions_updated_at,FUNCTION,trigger,PLPGSQL
update_tenant_users_updated_at,FUNCTION,trigger,PLPGSQL
update_updated_at,FUNCTION,trigger,PLPGSQL
update_updated_at_column,FUNCTION,trigger,PLPGSQL
update_user_profile_on_registration,FUNCTION,json,PLPGSQL
update_warehouse_settings_timestamp,FUNCTION,trigger,PLPGSQL
update_white_label_configs_updated_at,FUNCTION,trigger,PLPGSQL
update_white_label_domains_updated_at,FUNCTION,trigger,PLPGSQL
upgrade_company_chart,FUNCTION,jsonb,PLPGSQL
verify_white_label_domain,FUNCTION,jsonb,PLPGSQL
vote_on_review,FUNCTION,jsonb,PLPGSQL
