trigger_name,event,table_name,timing,action_statement
trg_auto_tenant_purchase_return_items,INSERT,purchase_return_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_purchase_return_items,UPDATE,purchase_return_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_purchase_return_items,INSERT,purchase_return_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_qr_codes_updated_at,UPDATE,qr_codes,BEFORE,EXECUTE FUNCTION update_qr_codes_updated_at()
trg_auto_company_quotation_items,INSERT,quotation_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_quotation_items,INSERT,quotation_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_quotation_items,INSERT,quotation_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_quotation_items,UPDATE,quotation_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_tenant_quotations,INSERT,quotations,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_set_initial_next_execution_date,INSERT,recurring_entry_templates,BEFORE,EXECUTE FUNCTION set_initial_next_execution_date()
trigger_set_tenant_remittances,INSERT,remittances,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_remittances,UPDATE,remittances,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_retail_cuttings,UPDATE,retail_cuttings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_set_tenant_retail_cuttings,INSERT,retail_cuttings,BEFORE,EXECUTE FUNCTION set_tenant_from_company()
trigger_activate_subscription_on_payment,INSERT,saas_payments,AFTER,EXECUTE FUNCTION activate_subscription_on_payment()
trigger_activate_subscription_on_payment,UPDATE,saas_payments,AFTER,EXECUTE FUNCTION activate_subscription_on_payment()
trigger_update_saas_payments_timestamp,UPDATE,saas_payments,BEFORE,EXECUTE FUNCTION update_saas_payments_updated_at()
trg_auto_tenant_sales_invoice_items,INSERT,sales_invoice_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_sales_invoice_items,INSERT,sales_invoice_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_sales_invoice_items,UPDATE,sales_invoice_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_sales_invoices,INSERT,sales_invoices,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_sales_invoices,INSERT,sales_invoices,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_sales_invoices,UPDATE,sales_invoices,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_sales_invoices,INSERT,sales_invoices,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_sales_order_items,INSERT,sales_order_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_sales_order_items,INSERT,sales_order_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_sales_order_items,INSERT,sales_order_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_sales_order_items,UPDATE,sales_order_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_auto_company_sales_return_items,INSERT,sales_return_items,BEFORE,EXECUTE FUNCTION auto_set_company_id()
trg_auto_tenant_sales_return_items,INSERT,sales_return_items,BEFORE,EXECUTE FUNCTION auto_set_tenant_id()
trg_brand_isolation_sales_return_items,UPDATE,sales_return_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trg_brand_isolation_sales_return_items,INSERT,sales_return_items,BEFORE,EXECUTE FUNCTION enforce_brand_isolation()
trigger_set_company_tenant_sample_cutting_items,INSERT,sample_cutting_items,BEFORE,EXECUTE FUNCTION set_company_tenant_from_sample_cutting()
